duration,pkt_rate,packet_rate,avg_pkt_size,byte_rate,avg_size,syn_ratio,fin_ratio,rst_ratio,flag_entropy,ttl_entropy,ipid_entropy,session_coherence,burstiness,suspicion_score
7176.468341112137,0.001393443059270892,0.001393443059270892,96.0,0.13377053369000563,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,2.025811519547388,2.025811519547388,0.2213206282072156
133388.61300683022,8.996270168418e-05,8.996270168418e-05,96.0,0.008636419361681281,96.0,0.0,0.0,0.0,0.0,1.0,3.584962500721156,2.865111602752289,2.865111602752289,0.27693928221177483
18545.583848953247,0.00043136954140441026,0.00043136954140441026,96.0,0.041411475974823385,96.0,0.0,0.0,0.0,0.0,1.0,3.0,1.1784012439675422,1.1784012439675422,0.1640374209124721
15908.871102809906,0.00025143204531297635,0.00025143204531297635,96.0,0.024137476350045727,96.0,0.0,0.0,0.0,0.0,1.0,2.0,1.4142133374697565,1.4142133374697565,0.1581861411244801
128344.45515084267,0.00014024758591124704,0.00014024758591124704,96.0,0.013463768247479716,96.0,0.0,0.0,0.0,0.0,1.0,4.169925001442312,3.4614807492860002,3.4614807492860002,0.32442068252676715
10759.09680390358,0.0003717784190350191,0.0003717784190350191,96.0,0.035690728227361836,96.0,0.0,0.0,0.0,0.0,1.0,2.0,1.4142132177401612,1.4142132177401612,0.1581861375510956
131275.21370100975,7.617584247682761e-05,7.617584247682761e-05,96.0,0.00731288087777545,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,2.491086557191445,2.491086557191445,0.24923709094784252
133570.19920802116,5.989359937646618e-05,5.989359937646618e-05,96.0,0.005749785540140754,96.0,0.0,0.0,0.0,0.0,1.0,3.0,1.959744394725748,1.959744394725748,0.21091799881368617
134348.62217402458,8.931985907868969e-05,8.931985907868969e-05,96.0,0.00857470647155421,96.0,0.0,0.0,0.0,0.0,1.0,3.584962500721156,2.783939874925778,2.783939874925778,0.2720689785228989
132642.95044493675,9.046843394049415e-05,9.046843394049415e-05,96.0,0.00868496965828744,96.0,0.0,0.0,0.0,0.0,1.0,3.584962500721156,2.7809997632451786,2.7809997632451786,0.2718925718565202
133050.48202300072,6.012755368009131e-05,6.012755368009131e-05,96.0,0.005772245153288766,96.0,0.0,0.0,0.0,0.0,1.0,3.0,2.056600332439032,2.056600332439032,0.21672935508350186
124507.88917016983,8.031619575794597e-05,8.031619575794597e-05,96.0,0.007710354792762812,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,2.3986412079977915,2.3986412079977915,0.24369037012043393
126556.19202804565,9.481954069336034e-05,9.481954069336034e-05,96.0,0.009102675906562592,96.0,0.0,0.0,0.0,0.0,1.0,3.584962500721156,2.800934984177711,2.800934984177711,0.27308868524300534
18719.62975716591,0.0005341985995300992,0.0005341985995300992,96.0,0.051283065554889526,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,1.460254038022171,1.460254038022171,0.18738715353836882
129269.30576705933,7.735788430719817e-05,7.735788430719817e-05,96.0,0.007426356893491024,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,2.5351614577697674,2.5351614577697674,0.2518815850180031
133939.47795796394,5.9728469320380276e-05,5.9728469320380276e-05,96.0,0.005733933054756507,96.0,0.0,0.0,0.0,0.0,1.0,3.0,2.1835990170766046,2.1835990170766046,0.22434927614978367
18120.160704135895,0.0006622457822496586,0.0006622457822496586,96.0,0.06357559509596722,96.0,0.0,0.0,0.0,0.0,1.0,3.584962500721156,1.5261162899103946,1.5261162899103946,0.19659958060975358
132283.39313292503,9.071433470066642e-05,9.071433470066642e-05,96.0,0.008708576131263976,96.0,0.0,0.0,0.0,0.0,1.0,3.584962500721156,2.499945901867129,2.499945901867129,0.25502934018121426
9717.861274957657,0.0006174198036209509,0.0006174198036209509,96.0,0.059272301147611284,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.2256717725922095,1.2256717725922095,0.15857290822588313
128458.10685682297,7.784639089493834e-05,7.784639089493834e-05,96.0,0.0074732535259140805,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,2.5523297266359934,2.5523297266359934,0.2529116811646319
18479.543088912964,0.00021645556823316972,0.00021645556823316972,96.0,0.020779734550384295,96.0,0.0,0.0,0.0,0.0,1.0,2.0,1.4142134059226263,1.4142134059226263,0.15818614418235796
130769.06400299072,0.0001223530972098575,0.0001223530972098575,96.0,0.011745897332146319,96.0,0.0,0.0,0.0,0.0,1.0,4.0,3.191905366823141,3.191905366823141,0.30484765901331473
131910.17384886742,9.097099677655403e-05,9.097099677655403e-05,96.0,0.008733215690549188,96.0,0.0,0.0,0.0,0.0,1.0,3.584962500721156,2.71696501033816,2.71696501033816,0.26805048669717596
14172.614221811295,0.00028223445141434115,0.00028223445141434115,96.0,0.02709450733577675,96.0,0.0,0.0,0.0,0.0,1.0,2.0,1.414213360948132,1.414213360948132,0.1581861434572548
3309.1347439289093,0.0012087751963979659,0.0012087751963979659,96.0,0.11604241885420473,96.0,0.0,0.0,0.0,0.0,1.0,2.0,1.414212572533549,1.414212572533549,0.15818612394860218
124613.92155194283,0.00011234699803716859,0.00011234699803716859,96.0,0.010785311811568183,96.0,0.0,0.0,0.0,0.0,1.0,3.8073549220576055,2.922246315270097,2.922246315270097,0.2848152140611012
133355.0796740055,0.0001049828775493505,0.0001049828775493505,96.0,0.010078356244737649,96.0,0.0,0.0,0.0,0.0,1.0,3.8073549220576055,2.9541485575561817,2.9541485575561817,0.28672934837734265
133072.67440104485,7.514690784572887e-05,7.514690784572887e-05,96.0,0.0072141031531899715,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,2.3266572137285664,2.3266572137285664,0.23937133030920182
121267.28908395767,4.947748106949093e-05,4.947748106949093e-05,96.0,0.004749838182671129,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.9588255150596625,1.9588255150596625,0.20256211573566066
126490.27921390533,0.00011068044190435269,0.00011068044190435269,96.0,0.010625322422817858,96.0,0.0,0.0,0.0,0.0,1.0,3.8073549220576055,2.958226059214116,2.958226059214116,0.2869739986477457
9454.343672990799,0.0006346289290435698,0.0006346289290435698,96.0,0.06092437718818269,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.6187180266984122,1.6187180266984122,0.18215568398852908
122547.2655467987,8.16011679687881e-05,8.16011679687881e-05,96.0,0.007833712125003658,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,2.519236170752107,2.519236170752107,0.25092606792424205
124697.73793315887,4.811634997914839e-05,4.811634997914839e-05,96.0,0.004619169597998245,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.8265490274792209,1.8265490274792209,0.19462552644000022
0.0007610321044921875,2628.0100250626565,2628.0100250626565,96.0,252288.96240601502,96.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.13217363408521304
19426.048815011978,0.00030886363239051196,0.00030886363239051196,96.0,0.029650908709489148,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.232046067912145,1.232046067912145,0.15895535668839414
132592.18777298927,4.5251534805901114e-05,4.5251534805901114e-05,96.0,0.004344147341366507,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.7930761100761898,1.7930761100761898,0.1926171513098739
17446.464622974396,0.0006878184353864901,0.0006878184353864901,96.0,0.06603056979710305,96.0,0.0,0.0,0.0,0.0,1.0,3.584962500721156,1.4613475047458666,1.4613475047458666,0.1927134542670615
133675.19324183464,7.480819557828345e-05,7.480819557828345e-05,96.0,0.007181586775515211,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,2.482103010938263,2.482103010938263,0.24869807813162226
129083.95594787598,6.197516911575282e-05,6.197516911575282e-05,96.0,0.00594961623511227,96.0,0.0,0.0,0.0,0.0,1.0,3.0,2.2535367596038873,2.2535367596038873,0.22854554076882166
133376.67166113853,8.997075613408335e-05,8.997075613408335e-05,96.0,0.008637192588872002,96.0,0.0,0.0,0.0,0.0,1.0,3.584962500721156,2.5417661165120484,2.5417661165120484,0.25753855303760204
130311.82123994827,4.604340529438204e-05,4.604340529438204e-05,96.0,0.0044201669082606755,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.6840744154781706,1.6840744154781706,0.18607704965774885
127781.24822688103,7.825874405487553e-05,7.825874405487553e-05,96.0,0.007512839429268051,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,2.4121724838304655,2.4121724838304655,0.24450224660867081
